songs,artists,lyrics,length
Friend of Mine,Kelly Price,"oh-oh oh-oh-oh oh, oh-oh-oh oh, oh-oh oh-oh oh oh-whoa friend mine (yeah-yeah) left man (why, why, why?) lied (yeah-yeah), cheated (oh, lord), took (she was, yeah) friend mine (ooh, ooh-ooh) used knew (i know why) lied (yeah), cheated (ooh-oh), left confused feel lost know happened me, ooh closest friend never would thought could someone someone really thought could trust man, laid, i'm betrayed friend mine (yeah-yeah, hey) left man (no, lied) lied (and cheated), cheated (oh-oh), took (you friend) friend mine (yeah, yeah-yeah, mm-mm) used knew (oh-oh) lied (you lied), cheated (yes, did), left confused thicker blood wherever me, you, ooh enough see try walk mile shoe head, bed betrayed best friend friend mine (oh, yeah-yeah) left man (oh-ooh) lied (you lied), cheated (you cheated), took (yeah-yeah, oh-ooh) friend mine (my closest friend) used knew (yeah, yeah-yeah-yeah) lied (you lied), cheated (and cheated), left confused (and oh, wanna know why) (why?) friend (why?) gave (why?) everything, everything want (why?) oh-oh-ooh-whoa-oh-oh-whoa (why?) friend (why?) oh, sister (why?) yeah-yeah-yeah-yeah (why?) friend mine (oh, were, were, were) left man (how could me?) lied (yeah-yeah), cheated (yeah-yeah-yeah), took (you were) friend mine (my best friend, yeah-yeah yeah) used knew (and everything needed) lied (i gave you), cheated (everything), left confused (oh-whoa) friend mine (yeah-yeah) left man (you left alone) lied (you lied), cheated (you cheated, yeah), took (every little thing had) friend mine (yeah, yeah, yeah) used knew (you used knew) lied (you liar), cheated (and cheater), left confused (you, whoa) friend mine (how could it, could it?) left man (yeah-yeah-yeah yeah) lied (you're liar), cheated (and cheater), took (hey-hey-hey yeah) friend mine (you friend, yeah-yeah yeah) oh-oh, liar yeah-yeah, yeah-yeah-yeah oh-oh-oh-oh oh-ooh",2674
Turn It Up (Remix)/Fire It Up,Busta Rhymes,"oh, ah, ah ohhhh, ah-ah-ah check flipmode squad, raw deluxe shit '98, check out, yo street shit, nigga mama freak put y'all nigga it, y'all know keep secret get money, know like keep get money, nigga tryin' peep flipmode nigga wanna form team get-money niggas, one plot scheme nigga used gettin' money frequent one would always measure triple beam start takin' nigga precinct that's back day, yo, ain't nothin' recent 'cause nowadays bitch like speak eat with, lay 'em sleep type pussy make nigga wanna keep shorty exotic, lookin' decent lot corny nigga offerin' wack free shit can't hold heat more, yo, gotta release y'all wanna do? know always comin' through, crew? let hear say, ""fire up!"" (fire up!) say, ""fire up!"" (fire up!) dog that's straight blunted run around 500 day let hear say, ""fire up!"" (fire up!) say, ""fire up!"" (fire up!), c'mon! now, everytime meet nigga fronted alright, 'cause gettin' money everybody want smoke big spliff, get blunted fall floor gotta call s-500 iceburg 5, at? ""no need alarm right i'm cruisin' sound enhanced cd-rom"" hurry up, 5, ayo, know get thick see cat way behind back stick ""tell at, ten second flat know got back, i'll time counteract"" sometimes i'm unforget cooth, s5 bulletproof turbo boost blast right motherfucking roof comin' through, hittin' you, knockin' nigga tooth full speed ahead like running toll booth produce flavor veryfine juice call truce niggas'll let loose lady place getting money next me, let see let hear say, ""fire up!"" (fire up!) say, ""fire up!"" (fire up!) people, wave hand gettin' money across land, one time let hear say, ""fire up!"" (fire up!) say, ""fire up!"" (fire up!), c'mon! relase heat, lettin' loose extreme iceburg s5 bounce scene recline seat, rock beat leanin' hard, like whole squad jeep blowin' spot hit them, know mean? got open, keepin' nigga like caffine flyin' guillotine seein' everything little computer screen phillipine keep movin', never run gasoline gas ossen, nigga kerosine 5 runnin' mission never seen hot shit makin' nigga forever feen anyone comin', better come clean hit overdose rhyme phetamine got eye blood shot, need visine nigga wildin', think need read sireen y'all wanna do? know always comin' through, crew? let hear say, ""fire up!"" (fire up!) say, ""fire up!"" (fire up!) dog that's straight blunted run around 500 day let hear say, ""fire up!"" (fire up!) say, ""fire up!"" (fire up!) lady place getting money next me, let see let hear say, ""fire up!"" (fire up!) say, ""fire up!"" (fire up!) people, wave hand gettin' money across land, one time let hear say, ""fire up!"" (fire up!) say, ""fire up!"" (fire up!), c'mon!",3777
I'll Be,Edwin McCain,"that's right, that's right yeah (ill na na) uh-huh (uh) come up, pop? brace ride top close eye ride right sock double, lose mind grind tunnel (uh) wanna give cash made last bundle (uh-huh) nasty girl, pas world (woah) push v, backseat, girl deepthroat c-notes, float (woah) murder wrote keep heat close (uh) firm, nigga, 'posed illest three coast familia bigger icos y'all danny devitos, small nigga see panty-eaters, that's all, nigga (c'mon) loan sharkin' year, raise figure (uh) fifteen percent, make whole world sit take notice, na na take (na na) y'all take quota hit, papa (i'll good) uh, straight gates, y'all, drop hit tell me, nasty get? way hood neck woods, ripped one thing's sure (i'll good) that's right, drop hit tell me, nasty get? way hood neck woods, ripped one thing's sure (i'll good) i'm live, nasty wanna shake sassy as front 'fore take tear back shit ain't happened since mack out, uh lola falana, dripped gabbana '90s style, finest style random way fit, wanna taste shit? put basin, throw face it, fucker (uh-huh) na na, y'all can't touch (uh) sex drive night like trucker let alone skill posse (and?) y'all gon' see mil posse (right) never settle less, i'm excess inexpensive, vvs tilt, that's way i'm built nasty, what? classy still (i'll good) uh, straight gates, y'all, drop hit tell me, nasty get? way hood neck woods, ripped one thing's sure (i'll good) that's right, drop hit tell me, nasty get? way hood neck woods, ripped one thing's sure (i'll good) well, hold got, roll roc a-fella capo candy apple drop (stop) tear fall ear stop? throw like quarterback, third lot? (tell me) dig me, i'll get locked like biggie herb spot word middie, cop biddie (uh) uh, i'm bomb-diggy, punana sexy brown thing, uh, madon', y'all make turn full-court pressure undress shit ass ain't playin', knock weigh-in 'cause i'm sayin', what's sense delayin'? (uh) i'm tryna run g p saw little thing, i'm swayin', okay, (hah, yeah) uh, uh, straight gates, y'all, drop hit tell me, nasty get? way hood neck woods, ripped one thing's sure (i'll good) that's right, drop hit tell me, nasty get? way hood neck woods, ripped one thing's sure (i'll good)",3161
Ray of Light,Madonna,"zephyr sky night, wonder tear mourning sink beneath sun? got universe gone quickly call thunder threatens everyone feel like got home feel feel like got home feel faster speeding light flying trying remember began got little piece heaven waiting time earth shall one feel like got home feel feel like got home feel quicker ray light quicker ray light quicker ray light zephyr sky night, wonder tear mourning sink beneath sun? got universe gone quickly call thunder threatens everyone feel quicker ray light, gone someone else endless year got universe got universe got universe feel feel feel like got home feel quicker ray light, flying quicker ray light, i'm flying",1112
All for You,Sister Hazel,"finally figured took long long time there's turnabout maybe cause i'm trying there's times, (i'm confused) road (they lead you) can't turn walk away... hard say see wonder i'll always word can't say can't enough prove thought i'd seen cause long long time oh we'll trip fall wondering i'm blind there's times, (i'm confused) road (they lead you) can't turn walk away... hard say see wonder i'll always word can't say can't enough prove rain come pouring (pouring down) falling blue sky (falling blue skies) word without sound coming eye finally figured took long long time there's turnabout maybe cause i'm trying there's times, (i'm confused) road (they lead you) can't turn walk away... hard say see wonder i'll always word can't say can't enough prove hard say see wonder i'll always word can't say can't enough prove oh hard say yeah, hard say",1407
Touch It,Monifah,"yeah, yeah, yeah jack knight dakoda house wanna make bounce monifah, would turn out? show thing jack knight dakoda house wanna make bounce monifah, could turn out? show thing really wanna touch it? really wanna mess tonight? know like would call name give right? could put thing me? could freak could freak give night long i'ma show body lip wrong, ooh really wanna touch it? really wanna fuck tonight? really? know like would call name give right? slow love feel good could move up? cause i'm ecstasy give night long i'ma show body tongue wrong really wanna touch it? really wanna fuck tonight? know like would call name give right? give me, give me, call name boy's shyness got wet like crazy want call name spank really wanna touch it? really wanna mess tonight? know like would call name give right? give, give, give, give, ooh really wanna touch it? really wanna fuck tonight? know like would call name give right? yeah, yeah jack knight dakoda house wanna make bounce monifah, would turn out? show thing jack knight dakoda house wanna make bounce monifah, could turn out? show thing really wanna touch it? really wanna fuck tonight? want fuck tonight? know like would call name give right? really wanna touch it? really wanna mess tonight? know like would call name give right? really wanna touch it? really wanna fuck tonight? know like would call name give right? really wanna touch it? really wanna mess tonight? know like would call name give right? touch touch me, love suck me, give baby, yeah know like really wanna touch it? really wanna fuck tonight? know like would call name give right?",2745
"Money, Power & Respect",The Lox,"see, believe money, power respect first get money, get motherfuckin' power get fuckin' power, motherfucker respect (what's key life?) money, power respect need life money, power respect, eatin' right money, power respect, sleep night see light, what's key life? money, power respect need life money, power respect, eatin' right money, power respect, money, power respect money, power respect ayo, whole clique 'bout it, 'bout take pout truck, step out, whore wanna crowd around could see optimum tv go bathroom turn light scream, ""bloody mary, 1, 2, 3"" sheek ain't usual friend could set like keyser walk straight end i'm done ice charm i'm tryna ice whole casket i'm gone pull class don, meet 'em greet 'em kiss foot freedom, tell em' thank lord 'cause earth gettin' bored resurrect back cat called sheek make album get back cat that's weak two-thirty, six two budge you? that's like cat vers' pitbull gun, know clip full, keep hunger plan future, 'cause figure gon' older way longer gon' younger (what's key life?) money, power respect need life money, power respect, eatin' right money, power respect, sleep night see light, what's key life? money, power respect need life money, power respect, eatin' right money, power respect, money, power respect money, power respect, key life time could tell clock tick i'm really loved here, i'm still hostage two personalities, check posture smoke mouth, flare nostril think death, life seem scary i'm passin' graveyard seein' people hail mary ain't chillin' 'til i'm parachutin' race man mountain climbin' ten diamond twenty five thousand piece, fuck street tryin' island, forget wildin' try ridin' car glidin' showed lived, would think hidin' sling dick chick speak english wake trinidad like, ""fuck it, i'm rich"" come back, private jet, live set shit gold, spit baguette (what's key life?) money, power respect need life money, power respect, eatin' right money, power respect, sleep night see light, what's key life? money, power respect need life money, power respect, eatin' right money, power respect, money, power respect money, power respect nothin' hotness whenever drop monotonous y'all keep hatin' 'cause y'all never gon' stop u keep rock spotless hoe topless take time, try figure lox fear one, kick rhyme like shogun scared blow one, get robbed gun respect i'ma check kiss i'ma peck right wet sneeze track bless i'm special like workin' i'm gon' stretch hustlin' dead, still get red turn spot bakery get back bread y'all said money's spent, bent' fed come, dog can't get scent story, self-explanatory i'm hottest thing street y'all ain't got nothin' (what's key life?), yeah money, power respect need life money, power respect, eatin' right money, power respect, sleep night see light, what's key life? money, power respect need life money, power respect, eatin' right money, power respect, money, power respect money, power respect beat freak to, drop reel bless nigga ill, y'all nigga know skill x grills, hit 'em up, split 'em wet 'em watch 'em come get 'em set em' up, dirt, get dirt bitch, i'll make shit hurt, step back like, ""i work"" ain't fuckin' game, what, think i'm playin'? 'til layin' somewhere junkyard decayin' mom home prayin' comin' home, 'cause sittin' trunk, startin' rot hell hot, know i'm now, baby goin' down, baby, get four pound, baby let nigga especially think bigger motherfuckin' trigger dead eye, get mine? gone? dmx representin' one time, put u (what's key life?) money, power respect need life money, power respect, eatin' right money, power respect, sleep night see light, what's key life? money, power respect need life money, power respect, eatin' right money, power respect, money, power respect money, power respect",5284
Bitter Sweet Symphony,The Verve,"'cause bitter sweet symphony that's life trying make end meet, slave money die i'll take road i've ever know one take place vein meet, yeah change, change change, change i'm mould mould i'm million different people one day next can't change mould no, no, no, no, no, no, (have ever down?) well i've never prayed, tonight i'm knees, yeah need hear sound recognize pain me, yeah let melody shine, let cleanse mind, feel free airwave clean there's nobody singing change, change change, change i'm mould mould i'm million different people one day next can't change mould no, no, no, no, ever down? can't change know, can't change 'cause bitter sweet symphony, that's life trying make end meet trying find money, die i'll take road i've ever know one take place vein meet, yeah know change, change change, change i'm mould mould i'm million different people one day next can't change mould, no, no, no, no, can't change mould, no, no, no, no, can't change mould, no, no, no, no, gotta change mould, no, no, (it's sex violence, melody silence) (it's sex violence, melody violence) (it's sex silence, melody silence) (i'll take road i've ever down) (it's sex violence, melody silence) (i'll take road i've ever down) (it's sex violence, melody violence) ever (i can't change mould, no, no, no, no, no) (it's sex violence, melody violence) ever (i can't change mould, no, no, no, no, no) ever ever ever down? ever down? ever down?",2233
Dangerous,Busta Rhymes,"hold tight know little bit dangerous ooh, little bit dangerous pack bag take control movin' heart soul get way! get sight! walking thin ice get night hey, where's work? what's game? know business know name hold tight know little bit dangerous got take make end meet eye lover hit like heat know little bit dangerous turn around hot dry hidin' halo mouth alive get way! get sight! i'm attracted gogo deeper tonight hey, what's word? what's game? know business know name hold tight know little bit dangerous got take make end meet eye lover hit like heat know little bit dangerous ooh, little bit dangerous hey, hey, hey, what's word? what's game? know business know name hold tight know little bit dangerous got take make end meet eye lover hit like heat know little bit dangerous armed extremely dangerous got take make end meet eye lover hit like heat know little bit dangerous ooh, little bit dangerous oh, oh oh, hey, where's work? mmm, what's game? know name hey, you! ooh, little bit dangerous know name",1578
Spice Up Your Life,Spice Girls,"la-la-la, la-la-la-la-la-la la-la-la, la-la-la-la la-la-la, la-la-la-la-la-la la-la-la, la-la-la-la feeling sad low take gotta go smiling, dancing, everything free need positivity colour world (spice life) every boy every girl (spice life) people world (spice life, ah) slam left (if havin' good time) shake right (if know feel fine) chicas front (ha, ha) go 'round slam left (if havin' good time) shake right (if know feel fine) chicas front (ha, ha) hai, sí, ja! hold tight! la-la-la, la-la-la-la-la-la la-la-la, la-la-la-la la-la-la, la-la-la-la-la-la la-la-la, la-la-la-la yellow man timbuktu colourful, kung fu fighting, dancing queen tribal spaceman that's colour world (spice life) every boy every girl (spice life) people world (spice life, ah) slam left (if havin' good time) shake right (if know feel fine) chicas front (ha, ha) go 'round slam left (if havin' good time) shake right (if know feel fine) chicas front (ha, ha) hai, sí, ja! hold tight! flamenco, lambada hip hop harder moonwalk foxtrot *then polka, salsa* (shake it, shake it, shake it, haka) (shake it, shake it, shake it, haka) arriba! (*ariba!*) *ha-ha-ha-ha-ha-ha-ha* colour world (spice life) every boy every girl (spice life) people world (spice life, ah) slam left (if havin' good time) shake right (if know feel fine) chicas front (ha, ha) go 'round slam left (if havin' good time) shake right (if know feel fine) chicas front (ha, ha) hai, sí, ja! hold tight! slam left (if havin' good time) shake right (if know feel fine) chicas front (ha, ha) go 'round slam left (if havin' good time) shake right (if know feel fine) chicas front (ha, ha) hai, sí, ja! hold tight!",2304
Because of You,98 Degrees,"sunshine rain cure fear pain 'cause i'm losing mind around (it's all) baby really know since met day showed way felt then, gave love, can't describe much feel said baby known right whenever gave love i'd tell yes i'd tell (oh yeah) honestly, could like neither le 'cause close eye night realize one else could ever take place still feel unreal touching me, kiss endlessly place sun love's begun miss you, yes miss baby, oh yeah knew tell what's mind (make understand) i'd always right side sunshine sunshine oh, yeah",974
The Mummers' Dance,Loreena McKennitt,springtime year tree crowned leaf ash oak birch yew dressed ribbon fair owl call breathless moon blue veil night shadow tree appear amidst lantern light we've rambling night time day returning back bring garland gay go shady grove summon shadow tie ribbon sheltering arm springtime year song bird seem fill wood fiddler play voice heard long past woodland day we've rambling night time day returning back bring garland gay linked hand danced round circle row journey night descends shade gone garland gay bring door stand sprout well budded work lord's hand we've rambling night time day returning back bring garland gay we've rambling night time day returning back bring garland gay,1242
All Cried Out,Allure,"alone sunday morning outside see rain falling inside i'm slowly dying rain hide crying, crying, cry you... know tear burn pillow set place fire 'cause i'm tired lie needed simple hello traffic noisy could hear cry i... gave love vain body never knew pleasure heart never knew pain you... leave confused i'm cried (oh, you, you, ooh) never wanted see thing way, go astray oh, fool? see grass greener, late find way home? could wrong? leaving alone know hurt cause inferno romance flames, take blame? one left neglected (i'm sorry) apology accepted, add broken heart collected oh... gave (gave you) know would weaken easily i... know i'm cried (i'm all) (i'm cried out, too) i... gave love vain body never knew pleasure heart never knew pain you... (i left confused i'm cried out) i'm cried",1329
Still Not a Player,Big Punisher,"oh ooh, yeah wanna player (ts) wanna player i'm player, fuck lot big punisher still got lookin' thug niggas, thug nigga (don't wanna be, wanna be) wanna player i'm player, fuck lot know big pun joe still law who's fuck tonight? ayo, i'm still player, still hater elevator top, hah, see later i'm gone, penthouse suite, penthouse freak in-house beach, french comtesse, 10 thou' piece rent-out lease option buy coppin' 5 benz i'm far sky puffin' lye twinzito benzito kiko queen nicknamed perico go back like pa wearin' pjs reached peakage, runnin' train three day wanna ride? cost dollar whether soft harder, course still gonna holla mama, i'm thick, huh? i'll rip prick hooter i'm sick, measure dick six ruler hold up, chula, i'm gettin' loot i'll knock boot get koofed wanna player i'm player, fuck lot big punisher still got lookin' uptown, baby, uptown wanna player i'm player, fuck lot know big pun joe still law who's fuck tonight? love 'em butter pecan blackberry molass' discriminate, regulate every shade as long show class pas test fat as breasts, highly intelligent bachelorette that's best, settle le want ghetto brunette unforgettable sex lay head chest feel heartbeat park jeep, pump mobb deep spark leaf hard creep since found joe every pretty, round, brown ho wanna go low boogie professional, i'ma let know put blows, get clothes, 'cause got go could go downstairs, little brown hair everywhere nasty, twin, care 'round call big pun, big gun thick tongue, known make chick cum hot tub poppin' bubbly rubbin' spot, love, got screamin', ""punish me!"" stop, watch pun get wicked stick even luke like, ""don't stop, get it, get it"" hot tub poppin' bubbly rubbin' spot, love, got screamin', ""punish me!"" stop, watch pun get wicked stick even luke like, ""don't stop, get it, get it"" wanna player big punisher still got lookin' wanna player know big pun joe still law who's fuck tonight? boricua, morena boricua, morena boricua, morena boricua, morena boricua, morena boricua, morena rollin' entourage unless pun terror squad beatin' nigga somethin' silly joe big punisher boricua, morena boricua, morena boricua, morena boricua, morena boricua, morena boricua, morena boricua, morena boricua, morena boricua, morena boricua, morena boricua, morena boricua, morena",3231
The One I Gave My Heart To,Aaliyah,"hey, oh yeah could one gave heart break heart bad? could one made happy make feel sad? somebody tell me, understand love me, could hurt like that? could one gave world throw world away? could one said, ""i love you"" say thing say? could one true tell lies? could one gave heart break heart mine, tell could cold me? gave everything love, inside could walk door? could love anymore? thought forever, can't understand could one shared dream take dream me? could love brought pleasure bring misery? somebody tell me, somebody tell please? love me, could me, tell whoa, hey yeah, could walk door? could love anymore? thought forever can't understand can't understand could one gave heart (oh) break heart bad? (break heart) could one made happy (you made happy) make feel sad? (oh, yeah) somebody tell me? (won't tell me?) understand (so understand) love me, could hurt like that? (how could hurt me?) could one gave world throw world away? (throw world away) could one said, ""i love you"" (you said love me) say thing say? (but love me, oh) could one true (yeah, did) tell lies? (you told lies, oh yeah) could one gave heart (ooh) make feel sad? (hey) could one gave heart break heart bad? tell (tell me, tell me) ooh, tell",1868
Foolish Games,You Were Meant for Me,"i've waiting body burn kind love i've waiting come around never enough playing game think see know yet, meant say feel thing realize making mistake, yeah runnin' hot, feelin' passin' city, one know name like i'd ever wanna do, i'd ever wanna i'd ever wanna come come waiting ""soul burn you"" kind touch thought really found that, end never enough one way street warning act like hear me, ain't foolin' nobody i'm tired punching bag what's good that? i'm tired door mat tell me, feel like home? say feel thing realize mistake, yeah ran hot, never found flame i'm passin' city people scream like i'd ever wanna do, i'd ever wanna i'd ever wanna come come",1271
Love You Down,INOJ,"never really mattered much damned old really mattered girlfriend baby, that's mattered let love even take night let love know gonna right remember drove home work loved way kissed bye friend think i'm young tell 'em guy age do, oh, baby let love even take night let love know got right let love even take night let love know got right, oh never really mattered much damned old really mattered girlfriend baby, that's mattered me, oh, baby let love down, ooh, oh let love know gonna right let love down, ooh let love know gonna right love let love you, love you, love you, love let love you, love you, love you, love let love (love down) know, know could let love (love down) know gonna take night let love (love down) no, no, no, let love down, oh (love down) let love dawn take house car love like are, whoa love down, down, down, baby love down, down, oh, woah, woah know, know could, yeah let love down, woah, woah whole night let love you, baby know, know could love down, down, oh let love you, know could, baby sweet me, woah, woah let love down, ooh, baby me, baby whole night let love can't take much longer, know",1902
Do for Love,2Pac,"turn loud hahaha, ahahaha, hey man little sucker love, pac! word up, hahahahaha seen trouble right start, taught many lesson mess broken hearts, many question began perfect match, perhaps problem workin it, argument gettin' loud, wanna stay can’t help walkin' throw away take hand understand, could see never planned man wasn’t i’m searchin’ commitment, arm wanna shelter harm, don’t alarmed attitude cause, got stressin’ soon open door jealous question like killin' jealousy ambition's free can't breathe, cause soon leave, like trap hear callin' come back, i'm sucka love won’t do, love? tried everything, don’t give won’t do, love? tried everything, don’t give thought broke away i'm feelin' happy try trap say pregnant guess daddy don’t wanna fall it, case could do? i’m back makin promise you, tryin' keep true i’m wrong, trick keep holdin tryin’ strong process, keep goin' i’m 'bout lose composure, i’m gettin’ close packin’ leavin’ notes, gettin’ ghost tell knows, peaceful place go clear head i’m feelin' low, losin’ control heart sayin’ leave, oh, tangled web weave conspire conceive, gettin’ call house, guess cheatin’ that’s need hear, 'cause i’m leavin’, i’m door never see me, end 'cause know you’ve cheatin', i’m sucka love won’t do, love? tried everything, don’t give won’t do, love? tried everything, don’t give left scars, tear pillow still stay sit pray, hoping beatings’ll go away wasn’t always hit-and-run relationship used love, happiness companionship remember treated good moved hills, ill ghetto hood happy home, love call seen trouble lost, trapped eye preoccupied gettin’ tossed, need lie man knew it, told don’t worry 'bout it, i’m pressure make decision, 'cause i’m waitin’, i’m alone i’m phone havin’ secret conversations, huh wanna take misery, replace happiness need faith me, i’m sucka love won’t do, love? tried everything, don’t give won’t do, love? tried everything, don’t give won’t do, love tried everything, don’t give won’t do, love tried everything, don’t give won’t do, (do love) tried everything, don’t give won’t do, (do love) tried everything, don’t give love, yeah baby yeah love",3396
Raise the Roof,Luke,"(featuring good good) time it?? (booty time) chorus: let's go raise roof put em raise roof put em raise roof put em raise roof repeat 4 time come ya'll big booty party get ya'll day day chillin' makin' hit luke way burn roof downtown..up ya feel pump fist left side, right side, what's put leg up, wanna' change biggest star show beat federal track got game heat get i'ma get need bite something playa bite say (???) ya feel like pimp talkin' out, comin' southside ready get loose pump ya fist raise roof chorus throw hand air big booty girl shake darria place gonna' see one yeah see ya'll playa's representing new york, foxy brown know get nasty house quit girl move as pump ya fist little kim ngbg, pump ya fist air one time salt n pepa luke break express, get better can't leave dirty south phatlanta brat that's (????) came across world let see pump fist chorus time it? (booty time) time it? (booty time) time it? (booty, booty, booty time) -repeat chorus time get right, ride i95 might see iny wednesday night 4 - 5 - 6 head track, monday night fat break f take trip go, cay club chicago ain't tellin' might huston texas, d.c red roper fayetteville, cap get ill eastside new york, funk master flex get back sssssouthside bama 9 westcoast, show love bound west g-club uncle luke get loose i'm platinum bound, raise roof chorus put em put em put yo hand high (high) let see raise roof (let see raise roof) put yo hand high (high) let see raise roof (let see raise roof) let see raise roof, roof, roof",2168
The Party Continues,JD,"monday, ten fifty-three a.m jd, me, bree call me, man havin' parties, u cat think y'all vacation, man you, brat, y'all, man y'all doin', man? come see, lookin' game, ya know? see ain't many y'all make 'em dance like (you say wanna dance, say wanna get down?) then, what's funny y'all got nerve wanna p.h.d. cuz i'm making money ha ha ha ha ha y'all ride matchbox, push hot wheel chi-chi mass appeal lettin' champagne spill house grill i'm dolla' dolla' bill makin' ya' dance every chance get hata's sayin' damn, ever catch bricks? nah, catch those, keep ghetto seen wit' best hoes, east west coast what? now, e'where pas wanna see big booty mamma tapping as whether believe see us, so-so def make y'all true believer whole entourage keep top notch evidently, push v's bentleys drop got big things, baby i'm still greedy enemy hope keep envying yeah, uh whatcha'll wanna do, huh? say wanna get down, huh? watcha wanna do, huh? say wanna get down, huh? wanna (say what, say what?) party (uh huh, uh huh) dat? one love drama? keep heated stay undefeated chi comma illinois crew make noise fifteen night tour, make 'em sick cure sits bar sip cristies midst party bump hit jd b.r.a.t., element irrelevant get shit pay attention ya' hatin' ya' bad look think gettin' paper like garth brook keep hook let world feel touch y'all much, sayin' y'all see u like rock party cartier wristwear six, pretty bitch long hair got lot dough, lot sto' c. e-o whatcha wanna do, huh? say wanna get down, huh? whatcha wanna do, huh? say wanna get down, huh? wanna (say what, say what?) party (uh huh, uh huh) you, hey see get goosebump baseline thump phat call professor klump ain't gonna front, yeah, like floss ain't gotta lie girl toss, know? betta' ask ya' lil' man's dough went needed mo' rent got bent, know rest split, spent some, lent friend wanna get down, gotta get come whatcha wanna do, huh? say wanna get down, huh? whatcha wanna do, huh? say wanna get down, huh? wanna (say what, say what) party (uh huh, uh huh) you, hey ay, yeah ay, yeah (ooh) ay, yeah ay, yeah ay, yeah ay, yeah, hey ay, yeah ay, yeah said wanna make ya dance wit' make dance wit' see wanna make ya dance wit' dance wit' aight? wanna make ya dance wit' dance wit' see wanna make ya dance wit' aight? come ay, yeah (come on) ay, yeah (come on) ay, yeah (come on) ay, yeah ay yeah ay yeah ay yeah ay yeah",3217
Sock It 2 Me,Missy Elliott,"uh-huh, nigga, yeah i'm nasty it, it, it, uh-huh, take slow no, no, looking affection, decided go swing dick direction, i'll control let's take perfection, let's see bring, bring, bring nasty me, n-n-n-now sock ooh ahh, sock like want to, ooh (oh) take like pro, know (know) long throw back stroke (hey) hormone jumping like disco (hey) popping mess like crisco gotta say ""missy, go"" say go, move slow (slow) i'm house around midnight (midnight), fall asleep it'll me-me-me late night creep i'ma show thangs can't believe jump b-e-d, sock me? s-s-s-sock ooh ahh, sock like want to, ooh (sock me) take like pro, know (know) long throw back stroke (hey) hormone jumping like disco (hey) popping mess like crisco (hey) gotta say ""missy, go"" (hey) say go, move slow (move slow) ooh ahh, sock like want to, ooh take like pro, know long throw back stroke hormone jumping like disco popping ish like crisco gotta say is, ""missy, go"" say go, move slow (uh-huh, yeah, yeah, yeah, yeah, yeah, yeah) sock ooh ahh, sock like want to, ooh (ooh) take like pro, know (you know) long throw back stroke hormone jumping like disco (hey) popping mess like crisco (hey) gotta say is, ""missy, go"" (hey) say go move slow (uh) missy socking nigga like ree-ree? baddest industry bitch century hit hard like penitentiary dick finally admitted shit, combination lethal popping patrón missy 600 see-through suffer repercussion fucking shit like parlay puffing constantly making nigga suffer consequence gotta get ends, bitch house chi caddy, crib atlanta benz nigga huffing puffing ain't try shit got plenty motherfucker ride quick besides, kid wanna bust? trigger finger itch fucking jealous live plush missy leave nigga head rush bring ruckus, plus i'm telling 'em, push pickin' profit i'm selling, never gon' stop socking nigga rocking dropping 'em spot heat block record shop knocking sock guaranteed platinum, watch two coldest bitch get hot b-r-a-t, missy bad bitch fucking i'm b-r-a-t, missy bad bitch fucking i'm nigga life, baby, haha let's continue drive motherfucker crazy know i'm saying? yeah timbaland, see you, baby feel you, uh, sock 'em, goddammit '97, motherfuckin' bitch era y'all nigga wanna do? brat-tat-tat as more, uh i'm door, motherfucker, yeah, uh",3247
A Rose Is Still a Rose,Aretha Franklin,"listen, dear realise hurt, deep i've regardless who, what, why, we're precious sight rose still, always be, rose doo doo doo doo doo doo mmm dooby dooby doo doo doo doo doo doo doo doo doo doo mmm rose knew, done met twice pretty sweet thing, least bit insecure came slick game played youth unashamed way lied played truth, hey hey never knew hit her, oh steal honey, forget rose scorned wear thorn, tryin' forget 'cause rose still rose baby girl, still flower can't leave take make break darlin', hold power (what am) believe tell i've hurt tell love you, you, nobody else tough, tryin' wear tight clothes thing tossin' flossin', tryin' fill void heartbreak brings oh, oh, yeah get nearer cryin', can't hear rose scorned wear thorn, tryin' forget 'cause rose still rose baby girl, still flower can't leave take make break baby girl, hold power (what am) see, rose still rose baby girl, still flower can't leave take make break darlin', hold power (what am) let life sunshine darkness sorrow may see lost today new love come tomorrow believe life man gone girl, love enough know without him, life go without him, life go without him, life go 'cause rose still rose baby girl, still flower can't leave take make break baby girl, hold power (what am) see, rose still rose baby girl, still flower can't leave take make break darlin', hold power (what am)",2288
