,songs,artists,lyrics,length
2087,How You Gonna See Me Now,Alice Cooper,"dear darlin', surprised hear me? bet sittin' drinkin' coffee, yawnin' sleepily let know i'm gonna home soon i'm kinda awkward afraid time changed point view gonna see now? please see ugly, babe 'cause know let in, oh, many way gonna see now? since we've gonna love man man get home? listen darlin', i'm heading west straightened head old heart still mess yes, i'm worried, honey, guess that's natural though like i'm waiting welcome sign like hobo snow gonna see now? please see ugly, babe 'cause know let in, oh, many way gonna see now? since we've gonna love man man get home? like first time, we're stranger might grown style place i've like first time, i'll shakin' inside walk door, there'll place hide gonna see now? please see ugly, babe 'cause feel let in, oh, many way gonna see now? please see ugly, babe 'cause know let in, oh, many way gonna see now? since we've gonna love man man get home? yeah, yeah oh, many way",1420
2088,Double Vision,Foreigner,"feeling 'n' dirty, feeling kinda mean i've one another extreme time good time, ain't got time wait wanna stick around 'till can't see straight fill eye double vision disguise double vision ooh, get me, always new double vision get best never i, really need mind racing, body's lead tonight's night, i'm gonna push limit live year single minute fill eye double vision disguise double vision ooh, get me, always new double vision always seems get best me, best me, yeah-eah eah-eah-hey oh-ooh (oh) oh-oh, double vision (oh) need double vision (oh, double vision) take head, taking head (oh, double vision) get double vision, woa-oah (oh, double vision) seeing double double, double vision (oh, double vision) oh-oh double vision (oh, double vision) double vision, yeah-ah-ah eah-eah eah-eah ah (oh, double vision) get double vision, oooh how, how?",1147
2089,Everytime I Think of You,The Babys,"everytime think always turn good everytime i've held thought understood people say love like surely pas know love like last last maybe wrong knowing love go (how love, love go) wrong knowing love would grow (how love, love would grow) everytime think (everytime) everytime think (every single time) always turn good season come season go love never die let hold you, darlin', cry 'cause people say love affair never last know love like never pas maybe wrong knowing love go (how love, love go) wrong knowing love would grow (how love, love would grow) everytime think (everytime) everytime think (every single time) always turn good people say love like surely pas know love like last last maybe wrong knowing love go (how love, love go) wrong knowing love would grow (how love, love would grow) everytime think everytime think everytime think always turn good everytime think everytime think everytime think everytime think everytime think everytime think everytime think everytime think everytime think everytime think",1627
2090,I Got My Mind Made Up (You Can Get It Girl),Instant Funk,"got mind made come on, get get it, girl, time (say what?) tonight fine got mind made come on, get get it, girl, time (say what?) tonight fine got mind made come on, get get it, girl, time (say what?) tonight fine got mind made come on, get get it, girl, time (say what?) tonight fine gotta push me, baby (push me, baby) gotta slide me, honey (slide me, girl) want money (if want money) gotta make good honey got mind made come on, get get it, girl, time (say what?) tonight fine got mind made come on, get get it, girl, time (say what?) tonight fine got mind made come on, get get it, girl, time (say what?) tonight fine got mind made come on, get get it, girl, time tonight fine got groovin' (you've got groovin') keep movin' (keep movin', keep movin') feeling's really soothing (feeling's really soothing) keep movin' (keep movin', yeah, yeah, yeah) got mind made come on, get get it, girl, time (say what?) tonight fine got mind made come on, get get it, girl, time (say what?) tonight fine got mind made come on, get get it, girl, time tonight fine oh, waste me, baby, waste (say what?) ah, taste me, baby, taste (say what?) space me, space got mind made come on, get get it, girl, time (say what?) tonight fine got mind made come on, get get it, girl, time tonight fine got mind made come on, get get it, girl, time tonight fine got mind made come on, get get it, girl, time tonight fine got groovin' (you've got groovin') keep movin' (keep movin', keep movin') feeling's really soothing (feeling's really soothing) keep movin' (keep movin', yeah, yeah, yeah) oh, baby, baby, baby (give me) (give me, give me) got mind made come on, get get it, girl, time (say what?) tonight fine got mind made come on, get get it, girl, time (say what?) tonight fine, yeah got mind made come on, get get it, girl, time (say what?) tonight fine got mind made come on, get get it, girl, time (say what?) tonight fine, yeah got mind made come on, get get it, girl, time tonight fine...",2687
2091,Don't Stop 'til You Get Enough,Michael Jackson,"know, wondering, know could keep force got lot power make feel like ah make feel like… ooh! lovely feelin' fever, temperature risin' power (oh, power) force, vow make happen, asks question (ooh) get closer (closer now) body love 'til know (ooh) keep force, stop stop 'til get enough keep force, stop stop 'til get enough keep force, stop stop 'til get enough keep force, stop stop 'til get enough touch feel fire ain’t nothin' like love desire (ooh) i'm melting (i'm melting) like hot candle wax sensation (oh, sensation) lovely we're (ooh!) let love take u hour complainin' (aah) 'cause love power (ooh) keep force, stop stop 'til get enough keep force, stop stop 'til get enough keep force, stop stop 'til get enough keep force, stop stop 'til get enough ooh! oh, baby keep keep heartbreak enemy despise eternal (oh, eternal) love shine eye (ooh) let love take u hour (oh, let love) complainin' (no, no) (hoo!) 'cause love alright, alright (ooh) keep force, stop stop 'til get enough keep force, stop stop 'til get enough keep force, stop stop 'til get enough keep force, stop stop 'til get enough keep force, stop (don't stop, baby) stop 'til get enough keep force, stop stop 'til get enough (oh, baby) keep force, stop stop 'til get enough keep force, stop stop 'til get enough lovely feelin' complainin' (ooh, ooh) force love power keep force, stop stop 'til get enough keep force, stop (don't stop, darlin') stop 'til get enough keep force, stop (don't, baby) stop 'til get enough keep force, stop (keep on) stop 'til get enough keep force, stop (keep on, darlin') stop 'til get enough keep force, stop (love power, yeah) stop 'til get enough keep force, stop (keep on, darlin') stop 'til get enough keep force, stop (love power) stop 'til get enough keep force, stop (keep power, would ya, ooh) stop 'til get enough (don't stop 'til get enough, ooh) keep force, stop stop 'til get enough keep force, stop (keep on, yeah) stop 'til get enough (ah, ah now) keep force, stop (yeah) stop 'til get enough keep force, stop (keep on, baby) stop 'til get enough keep force, stop (don't 'til get enough) stop 'til get enough keep force, stop stop 'til get enough keep force, stop (keep on, darlin') stop 'til get enough keep force, stop (alright, yeah) stop 'til get enough keep force, stop (keep on, baby) stop 'til get enough keep force, stop (don't stop)",3645
2092,"Bad Case of Loving You (Doctor, Doctor)",Robert Palmer,"whoa hot summer night fell like net i've gotta find baby yet need soothe head turn blue heart red doctor, doctor, gimme news got bad case loving pill's gonna cure ill i've got bad case lovin' pretty face make pretty heart learned that, buddy, start think i'm cute, little bit shy mama, ain't kind guy doctor, doctor, gimme news got bad case loving pill's gonna cure ill got bad case lovin' whoa know like it, like top tell me, mama, gonna stop? twenty-one zip smile juda lip shake fist, knock wood i've got bad got good doctor, doctor, gimme news i've got bad case loving pill's gonna cure ill got bad case lovin'",848
2093,Somewhere in the Night,Barry Manilow,"time, found time enough love found love enough hold tonight, i'll stir fire feel inside flame love enfold laying beside you, lost feeling glad opened door come somewhere night know everything lover know song music magic end i'll play loving warm, moving right closing eye feeling alive we'll go burning bright somewhere night sleep morning come i'll lie watch sleeping smile dream night like secret keeping laying beside lost feeling glad opened door song music magic end i'll play loving warm, moving right closing eye feeling alive we'll go burning bright somewhere night we'll go burning bright somewhere night",963
2095,Dance the Night Away,Van Halen,"seen her, fine pretty? fooled style ease feel across room yes, love third degree ooh, baby, baby cha turn head way? ooh, baby, baby come on, take chance, old enough dance night away oh, come on, baby, dance night away live wire barely beginner, watch lady go fire 'cause dancing get higher anything else know ooh, baby, baby cha turn head way? ooh, baby, baby well, skip romance, 'cause old enough dance night away oh, come on, baby, dance night away ohh, oh-oh-oh, oh yeah dance night away hey, hey, yeah dance, dance, dance night away uh-come on, baby dance night away hey, hey, yeah dance, dance, dance night away uh-come on, baby, baby dance night away ooh, ooh-ooh-ooh, yeah dance, dance, dance night away ahh, ahh-ah, ow!",935
2096,Dancin' Shoes,Nigel Olsson,"many long conversation one hearin word tryin escape frustration till song night heard put dancin shoe throw one-night blue here one love chance spin wheel romance slow unriddle problem lonely someone care long, lonely silence keep haunting till song night find put dancin shoe throw one-night blue here’s one love chance spin wheel, spin wheel spin wheel romance face like angel she’s waiting smile look yearn situation finally dream come true put dancin’ shoe sweep away here’s one love share caught wheel, caught wheel caught wheel romance put dancin’ shoe (put dancin’ shoes) sweep away put dancin’ shoe sweep away you, you, oh put dancin’ shoe (put dancin’ shoes) oh, oh, oh",1077
2097,The Boss,Diana Ross,"fancy thought degree life love ought run one step plan prove guide pocket fool folly fun love show one thing right (so right) right thought could turn emotion sure sure (i sure) love taught was, was, bos i'd defy anyone claimed control whatever moved soul could tempt touch delight fell feel uptight love show one thing right (so right) right thought could turn emotion sure sure (i sure) love taught was, was, bos love taught taught taught taught right (so right) right thought could turn emotion sure sure (i sure) love taught was, was, bos (taught was, boss)",956
2098,Sail On,Commodores,"sail line 'bout half mile really wanna know going maybe twice see time time tried hold got going mind thing gonna say, lord gave money time know shame i'm giving back name yeah, yeah yes, i'll way back stay guess i'll move along i'm looking good time sail line ain't funny time go friend say told matter plain see small town boy like cup tea wishful thinking gave heart tried make happy gave nothing return know, ain't hard say would please go away yeah, yeah i've thrown away blue i'm tired used want everyone know i'm looking good time good time, yeah sail on, honey good time never felt good sail on, honey good time never felt good sail on, sugar good time never felt good sail sail sail",1108
2099,I Do Love You,GQ,"love you, ooooh alright, alright, aaah (i love you) (i love you, love you) love right (ooh-ho-ho-ooh) baby, hey, yeah little darlin' said (i love you) (i love you, love you, ooh-ho-ho-ooh) love right never, never gonna let gonna let, gonna let go, na-na-na pretty little baby (i love you) (i love you, love you, ooh-ho-ho-ooh) say, want try understand i, want lovin' man, babe (i love you) (i love you, love you, ooh-ho-ho-ooh) baby, love want go, no, listen me, ya i'm beggin' bended knee (i love you) (i love you, love you, ooh-ho-ho-ooh) girl, prayed love would come someday (i love you) (i love you, love you, ooh-ho-ho-ooh) love so, babe drive mad (i love you) (i love you, love you, ooh-ho-ho-ooh) love right pretty baby, pretty baby (i love you) (i love you, love you, ooh-ho-ho-ooh) love right oh, baby, love want go no, no, no, no, no, listen i'm beggin' bended knee (i love you) (i love you, love you, ooh-ho-ho-ooh)",1256
2100,Firefall,GQ,"may 2019 present: igor era award & accomplishment 11/7/19 - 2019 wsj innovator awards: music innovator year appearance & shows5/23/19 - apple music presents: tyler, creator 5/31/19 - governor ball 2019 6/21/19 - firefly music festival 2019 8/30/19 - bumbershoot 2019 9/2/19-10/26/19 - igor tour 11/2/19 - day n' vega 2019 11/10/19 - camp flog gnaw 2019 11/24/19 - american music award 2019 12/28/19 - wildlands 2019, 12/30/19 - beyond valley 2019 12/31/19 - origin field 2019 1/1/20 - field day 2020 1/2/20 - bay dream 2020 1/4/20 - bay dream south island 2020 1/26/20 - 62nd annual grammy award discography 5/17/19 - igor - album filmography lead artist: 5/1/19 - ""igor’s theme"" 5/3/19 - ""whatsgood"" 5/13/19 - ""a boy gun*"" 5/14/19 - ""new magic wand"" 5/17/19 - ""earfquake"" 9/16/19 -""a boy gun*"" 10/24/19 - ""i think"" 12/23/19 - ""best interest"" 12/23/19 - ""group b"" featured artist: 8/27/19 - ""u say"" (with goldlink jay prince) 10/16/19 - ""castaway"" (with yuna) interview 10/5/19 - ""tyler, creator: 'theresa may's gone, i’m back uk,'"" guardian 11/19/19 - ""tyler, creator igor, winning trust, ""f--cking goob-goobers,"" gqapril 2017 april 2019: flower boy era award & accomplishment date - accomplishment appearance & show 7/25/17 - late show stephen colbert discography lead artist: 6/29/17 - ""who dat boy"" 6/30/17 - ""911 / mr. lonely"" 7/11/17 - ""boredom"" 7/19/17 - ""i ain't got time!"" 7/21/17 - flower boy - album featured artist: 4/8/17 - ""biking"" (with frank ocean jay-z) filmography 6/29/17 - ""who dat boy/911"" 3/29/18 - ""okra"" 5/22/18 - ""435"" 7/23/18 - ""potato salad"" 8/8/18 - ""see again/where flower blooms"" interview date - article name, publisher name, date publishedapril 2015 october 2016: cherry bomb era award & accomplishment date - accomplishment appearance & show 4/11/15 - coachella music festival 4/11/15-9/13/15 - cherry bomb tour 6/12/15 - jimmy kimmel live discography 4/9/15 - ""deathcamp"" 4/9/15 - ""fucking young/perfect"" 4/13/15 - cherry bomb - album 10/12/15 - ""fuck it"" filmography 4/9/15 - ""fucking young/deathcamp"" 2/8/16 - ""perfect"" 3/3/16 - ""what fuck right now"" interview date - article name, publisher name, date publishedfebruary 2013 december 2014: wolf era award & accomplishment appearance & show 2/26/13 - late night jimmy fallon 4/5/13 - late show david letterman 11/8/13 - arsenio hall show discography 2/14/13 - ""domo23"" 3/29/13 - ""ifhy"" 4/2/13 - wolf - album filmography 2/14/13 - ""domo23/bimmer"" 3/29/13 - ""ifhy/jamba"" 10/7/13 - ""tamale/answer"" interview date - article name, publisher name, date publishedoctober 2010 october 2012: goblin era award & accomplishment 8/28/11 - video music award best new artist: ""yonkers"" appearance & show 2/16/11 - late night jimmy fallon 3/16/11 - 2011 mtvu woodie award 8/28/11 - mtv video music award discography lead artist: 10/8/10 - ""sandwitches"" 2/14/11 - ""yonkers"" 5/10/11 - goblin - album 5/10/11 - ""she"" featured artist: 7/12/11 - ""trouble mind"" (with pusha t) 12/20/11 - ""martians vs. goblins"" (with game & lil wayne) filmography 2/10/11 - ""yonkers"" 6/3/11 - ""she"" 10/11/11 - ""bitch suck dick"" interview date - article name, publisher name, date publisheddecember 2009 may 2010: bastard era award & accomplishment date - accomplishment appearance & show date - appearance show discography 12/25/09 - bastard - mixtape filmography 1/1/10 - ""bastard"" 1/16/10 - ""french!"" 5/29/10 - ""vcr"" interview date - article name, publisher name, date published",3634
2101,Call Me,Blondie,"love (i love you) love (i love you) love (and love you) baby call moment get there? hey baby, um-hum love (i love you) love (i love you) love (and love you) baby call moment get there? hey baby, um-hum call (the moment) moment (you get there) get there? yeah, yeah, baby, yeah dearest, dearest darling (ah-ooo) know, know, know, know we've got part (ah-ooo) baby, baby, baby, baby, baby really hurt bad yeah (ah-ooo) taking i'm keeping right-a heart love (i love you) woo-hoo, love (i love you) love (and love you) baby call moment get there, baby? that? now? call (the moment) moment (you get there) get there? yeah, yeah, baby, yeah call (the moment) moment (you get there) get there? yeah, yeah, baby, yeah call (the moment) moment (you get there) get there? yeah, yeah, baby, yeah",1129
2102,"Another Brick in the Wall, Part II",Pink Floyd,"novel reference songs: ""asleep"" smith ""blackbird"" beatles ""mlk"" u2 ""landslide"" fleetwood mac (in movie, tunnel scene song hero david bowie) ""smells like teen spirit"" nirvana ""vapour trail"" ride ""scarborough fair"" simon garfunkel ""a whiter shade pale"" procol harum ""time reply"" nick drake ""dear prudence"" beatles ""gypsy"" suzanne vega ""nights white satin"" moody blue ""daydream"" smashing pumpkin ""dusk"" genesis ""something"" beatles ""broken wings"" mr. mister ""i'm going home"", sung tim curry frank n. furter rocky horror picture show ""another brick wall, part ii"" pink floyd ""autumn leaves"" song nat king cole, simply name mixtape ""a boy"" made charlie's sister music group artist mentioned without reference specific song, including village people, blondie, jim morrison, john lennon, slits, billie holiday",1009
2103,Magic,Olivia Newton-John,"oh, ho, ho, magic, know never believe magic, know never believe never awake never seen day break leaning pillow morning lazy day bed music head crazy music playing morning light oh, ho, ho, magic, know never believe magic, know never believe love sunny day dream far away dreaming pillow morning never awake never seen day break leaning pillow morning light oh, ho, ho, magic, know never believe magic, know never believe oh, ho, ho, magic, know never believe magic, know never believe",734
2105,Do That to Me One More Time,Captain & Tennille,"one time never enough man like one time never get enough man like oh, kiss like oh baby pas one time enough heart hear oh, tell one time never hear enough i've got near, oh say word like oh baby tell one time never enough man like woah, one time never get enough man like oh kiss like oh baby oh baby oh baby one time (do again) one time (do again) one time (do again) one time (do again) one time (do again) one time (do again) one time",882
2106,Crazy Little Thing Called Love,Queen,"thing called love can't handle thing called love must get 'round it, ain't ready crazy little thing called love a-this thing (this thing) called love (called love) cry (like baby) cradle night swing (woo, woo) jive (woo, woo) shake like jellyfish woo, kinda like crazy little thing called love go baby know rock 'n' roll drive crazy give hot cold fever leaf cool, cool sweat gotta cool, relax, get hip get track take back seat, hitch-hike take long ride motorbike i'm ready crazy little thing called love yeah gotta cool, relax, get hip get track take back seat hitch-hike (ah hum, ah hum) take long ride motorbike i'm ready (ready freddie) crazy little thing called love thing called love can't handle thing called love must get 'round ain't ready (ooh ooh ooh ooh) crazy little thing called love crazy little thing called love, yeah, yeah crazy little thing called love, yeah, yeah crazy little thing called love, yeah, yeah crazy little thing called love, yeah, yeah crazy little thing called love, yeah, yeah crazy little thing called love, yeah, yeah crazy little thing called love, yeah, yeah crazy little thing called love, yeah, yeah",1384
2107,Coming Up,Paul McCartney,"want love last forever one never fade away wanna help problem stick around, say coming (ooh, ooh) coming up, yeah coming like flower coming up, say (ooh) want friend rely one never fade away searching answer stick around, say coming (ooh, ooh) coming coming like flower coming up, yeah want peace understanding everybody free know get together make it, stick coming (ooh, ooh) coming (can't see?) coming like flower coming coming coming coming coming up, say coming like flower coming feel bone yeah, yeah, yeah, yeah, yay want better kind future one everyone share alone, could use stick around, we're nearly coming (ooh, ooh) coming (everywhere) coming like flower coming up, share coming up, yeah coming way coming like flower coming",1051
2109,It's Still Rock and Roll to Me,Billy Joel,"what's matter clothes i'm wearing? can't tell tie's wide? maybe buy old tab collars? welcome back age jive hidin' lately, honey? can't dress trashy 'til spend lot money everybody's talkin' 'bout new sound funny, still rock roll what's matter car i'm driving? can't tell style? get set whitewall tires? gonna cruise miracle mile? nowadays can't sentimental best bet's true baby blue continental hot funk, cool punk, even old junk still rock roll oh, matter say paper cause always old scene there's new band town can't get sound story magazine aimed average teen pair pink sidewinder bright orange pair pants? could really beau brummel baby give half chance waste money new set speaker get mileage cheap pair sneaker next phase, new wave, dance craze, anyways still rock roll alright richie! woo! ooh what's matter crowd i'm seeing? know they're touch? try straight 'a' student? think much know new fashion, honey? need look whole lotta money next phase, new wave dance craze, anyways still rock roll everybody's talkin' 'bout new sound funny, still rock roll",1639
2110,The Rose,Bette Midler,"say love, river drowns tender reed say love, razor leaf soul bleed say love, hunger endless aching need say love, flower you, seed heart, afraid breaking never learns dance dream, afraid waking never take chance one taken cannot seem give soul, afraid dying never learns live night lonely road long think love lucky strong remember winter far beneath bitter snow lie seed sun's love spring becomes rose",710
2111,Escape (The Piña Colada Song),Rupert Holmes,"tired lady we'd together long like worn recording favorite song lay sleeping read paper bed personal column letter read: ""if like piña coladas getting caught rain yoga half brain like making love midnight dune cape i'm love looked write escape"" think lady know sound kind mean old lady fallen old dull routine wrote paper took personal ad though i'm nobody's poet thought half bad: ""yes, like piña coladas getting caught rain i'm much health food champagne i've got meet tomorrow noon cut red tape bar called o'malley's we'll plan escape"" waited high hope walked place knew smile instant knew curve face lovely lady said, ""aw, you"" laughed moment said, ""i never knew..."" ""...that like piña coladas gettin' caught rain feel ocean taste champagne like making love midnight dune cape lady i've looked come escape"" like piña coladas getting caught rain yoga half brain like making love midnight dune cape i'm love looked write escape yes, like piña coladas getting caught rain i'm much health food champagne i've got meet tomorrow noon cut red tape bar called o'malley's we'll plan escape",1841
2112,Cars,Gary Numan,car feel safest lock door way live car car receive listen keep stable day car car image break visit please open door cars? car know i've started think leaving tonight although nothing seems right car,382
2113,Cruisin,Smokey Robinson,"(crusin') baby, let's cruise, away confused, way clear want it, got it, forever one night stand, baby, yeah let music take mind, ooh release find gonna fly away glad goin' way love we're cruisin' together music played love cruisin' made love love we're cruisin' together baby, tonight belongs u everything's right, must inch inch, get closer closer every little part other, ooh baby, yeah let music take mind release find gonna fly away glad going way love we're cruisin' together music played love cruisin' made love love we're cruisin' together (cruise baby cruise baby cruise), hooh-hooh, yeah, oh baby (cruise), ow, ow good cruise you, baby good cruise you, baby ow, yeah need, baby baby let's cruise, let's flow, let's glide ooh, let's open go inside want it, got forever stay inside love baby let music, take mind release find gonna fly away yeah, i'm glad going way love we're cruisin' together music is... oh! cruisin' made love love we're cruisin' together oh, baby (we're gonna fly away) oh, baby (glad going way) love we're cruisin' together music is... oh! cruisin' made love love it, love it, love it, love (we're gonna fly away), yeah (glad going way) love it, we're cruisin' together music played love cruisin' made for... love it, love it, love it, love love (we're gonna fly away) (glad going way) love we're cruisin' together",1897
2114,Working My Way Back to You,The Spinners,"ooh, ooh-ooh i'll keep working way back you, babe burning love inside yeah, i'm working way back you, babe happiness died let get away (do-do, do-do-do) payin' every day (do-do, do-do-do) love played around like free thought could cake eat it, cried losing see, i'm ain't go living life without hey, every day made cry i'm paying, girl, till day die i'll keep working way back you, babe burning love inside yeah, i'm working way back you, babe happiness died let get away (do-do, do-do-do) payin' every day (do-do, do-do-do) oh, used love make cry made feel like man inside man reality would here, baby, loving night long lonely ain't proud, babe, miss girl, proud, give think could win i'll keep working way back you, babe burning love inside yeah, i'm working way back you, babe happiness died let get away (do-do, do-do-do) payin' every day (do-do, do-do-do) (you, you, babe) road kinda long (you, you, babe) gotta get back home whoa, i'm really sorry actin' way i'm really sorry, ooh, little girl i'm really sorry telling lie long oh, please, forgive me, girl, come (give chance) forgive me, girl, hey (let's romance) ooh, forgive me, girl (let's start again) come on, forgive me, girl want keep working way back you, babe burning love inside hey, i'm working way back you, babe happiness died let get away (do-do, do-do-do) payin' every day (do-do, do-do-do) keep (working way back you, babe) yeah (burning love inside) (working way back you, babe)",2001
2115,Lost in Love,Air Supply,"realize best part love thinnest slice count much i'm letting go believe there's still much believe lift eye feel reach star i'll show plan figured needed someone show know can't fool i've lovin' long started easy want carry (carry on) lost love know much thinkin' aloud fell touch? i'm back foot eager wanted lift eye feel reach star i'll show plan figured needed someone show know can't fool i've lovin' long started easy want carry (carry on) lost love know much thinkin' aloud fell touch? i'm back foot eager wanted know can't fool i've lovin' long started easy want carry (carry on) lost love know much thinkin' aloud fell touch? i'm back foot eager wanted i'm lost, lost love, lost love, lost love i'm lost, i'm lost love, i'm lost love, lost love",1271
2116,Little Jeannie,Elton John,"oh, little jeannie got much love, little jeannie take strike give like oh, little jeannie got much love, little jeannie see make man want acrobat want lover oh, others would treat cruel oh, jeannie, always someone's fool little jeannie got much time, little jeannie though grown beyond year still retain fear youth oh, little jeannie got much time, little jeannie burnin' fast searchin' lasting truth want acrobat want lover oh, others would treat cruel oh, jeannie, always fool want acrobat want lover oh, others, i've known quite oh, jeannie, i'm still love stepped life bad dream makin' life seem suddenly shiny new oh, jeannie, (oh, jeannie) i'm love stepped life bad dream makin' life seem suddenly shiny new oh, jeannie, (oh, jeannie) i'm love stepped life bad dream makin' life seem suddenly shiny new oh, jeannie, (oh, jeannie) i'm love stepped life bad dream makin' life seem suddenly shiny new oh, jeannie, (oh, jeannie) i'm love, i'm love stepped life bad dream makin' life seem suddenly shiny new oh, jeannie, (oh, jeannie) i'm love, i'm love",1692
2117,Ride Like the Wind,Christopher Cross,night body's weak i'm run time sleep i've got ride ride like wind free i've got long way go make border mexico i'll ride like wind ride like wind born son lawless man always spoke mind gun hand lived nine life gunned ten gonna ride like wind i've got long way go make border mexico i'll ride like wind ride like wind accused tried told hang nowhere sight church bell rang never kind told gonna ride like wind get old night body's weak i'm run time sleep i've got ride ride like wind free i've got long way go make border mexico i'll ride like wind ride like wind i've got long way go make border mexico i'll ride like wind ride like wind gonna ride like wind ride gonna ride like wind gonna ride,1066
2118,Upside Down,Diana Ross,"said, ""upside down, turning me"" giving love instinctively 'round 'round, turning upside boy, turn inside 'round 'round upside boy, turn inside 'round 'round instinctively, give love need cherish moment respectfully, say thee i'm aware cheating one make feel like upside boy, turn inside 'round 'round upside boy, turn inside 'round 'round know got charm appeal always play field i'm crazy think mine long sun continues shine there's place heart you, that's bottom line upside boy, turn inside 'round 'round upside boy, turn inside 'round 'round instinctively, give love need cherish moment respectfully, say thee i'm aware cheating one make feel like upside boy, turn inside 'round, 'round upside boy, turn inside 'round 'round upside boy, turn inside 'round 'round upside boy, turn inside 'round, 'round upside down, turning giving love instinctively ""'round 'round, turning me."" say thee, respectfully upside down, turning giving love instinctively ""around around, turning me."" say thee, respectfully said, ""upside down, turning me."" giving love instinctively around around, turning say thee, respectfully upside down, turning giving love instinctively ""'round 'round, turning me."" say thee, respectfully upside down, turning",1847
2119,Please Don't Go,KC and the Sunshine Band,"love yeah babe, love want know i'm gonna miss love minute walk door please go go go away please go go i'm begging stay leave, least lifetime i've one dream come true blessed loved someone wonderful please go go go away please go go i'm begging stay, hey, hey, hey yeah babe, love i, want know i'm gonna miss love minute walk door please go go go away, hey, hey, hey need love i'm knee beggin', ""please, please, please go"" hear me, baby? leave oh, no, no, go please go want know i, i, love please leave me, baby please go",865
2120,Babe,Styx,"babe, i'm leaving must way time drawing near train going see eye love, need, tear i'll lonely without i'll need love see please believe heart hand i'll missing 'cause know you, babe whenever get weary i've enough feel like giving know you, babe giving courage strength need please believe true babe, love know you, babe whenever get weary i've enough feel like giving know you, babe giving courage strength need please believe true babe, love babe, i'm leaving i'll say somehow try smile know feeling we're trying forget 'cause i'll lonely without i'll need love see please believe heart hand 'cause i'll missing babe, love babe, love ooh, baby",1013
2121,With You I'm Born Again,Billy Preston,"come bring softness comfort madness woman, know? i'm born come give sweetness there's you, weakness lying safe within arms, i'm born half, whole step none reaching world need one come show kindness arm know i'll find woman, know? i'm born lying safe i'm born come bring softness comfort madness woman, know? i'm born come give sweetness there's you, weakness there's you, weakness lying safe within arms, i'm born woman, know? i'm born half, whole step none reaching world need one come show kindness arm know i'll find woman, know? i'm born lying safe i'm born",987
2122,Shining Star,The Manhattans,"yeah, hey, hey wish upon star dream take far, yeah wish upon dream life ain't always seems, oh, yeah see night clear, hey? sky dear, yeah? shining star matter shining bright see could truly (what could truly be) shining star come view shine watchful light give strength carry on, yeah yeah, make body big strong, yeah born man-child sun, yeah yeah, saw work begun yeah, found stand alone, yeah bless i've got oh yeah, oh yeah so, find need listen word heed giant grain sand word wisdom yes, shining star matter shining bright see could truly shining star matter shining bright see could truly shining star matter shining bright see could truly shining star see life truly shining star see life truly shining star see life truly",1207
2123,Still,Commodores,"(still) though broke heart (still) though we're far apart (i love still) (still) time (still) still mind (i love still) i've lost count hour i've lost track day fact, i've lost everything since went away (i love still) everything except memory left that's one thing one mar know with, even know gone hope day might hear song know, wrote especially (i love still) love wherever flame heart like eternal fire every day burn hotter every day burn higher (i love still) able put one little flicker even tear friend think, i'm crazy maybe i'll carry torch long someday might decide come home (i love still) want know, i'm still",1032
2124,"Yes, I'm Ready",Teri DeSario,"(are ready?) (are ready?) even know love way want i'm ready learn (to learn) yes, i'm ready learn (to learn) fall love, fall love, fall love even know hold hand make understand i'm ready learn (to learn) yes, i'm ready learn (to learn) hold hand, make understand hold hand right even know kiss lip (kiss lips) moment like i'm going learn thing want (are ready?) yes, i'm ready (are ready?) yes, i'm ready fall love, fall love, fall love right (are ready?) yes, i'm ready (are ready?) yes, i'm ready (to kiss me?) yes, i'm ready (to love me?) kiss you, love you, hug baby, i'm ready",864
2125,Sexy Eyes,Dr. Hook,"sitting alone, watching people getting off, dancing 'cross floor, turning movement back forth, lover one lonely night me, looked see sexy eyes, moving 'cross floor, want more, sexy eye sexy eyes, getting you, wanna move you, sexy eye got took hand began dance music ooh magic cast spell, take long 'til fell knew lonely night me, gonna sexy eyes, moving 'cross floor, want more, sexy eye sexy eyes, getting you, wanna move you, sexy eye lonely night me, gonna sexy eyes, moving 'cross floor, want more, sexy eye sexy eyes, getting you, wanna move you, sexy eye sexy eyes, getting you, wanna move you, sexy eye sexy eyes, getting you, wanna move you, sexy eye",1015
2126,Steal Away,Robbie Dupree,"i've got see somehow tomorrow, right know late, woah, can't wait so, come steal away please, steal away now, start thinking, tryin' make mind folk sleeping, let's waste time know late, woah, can't wait so, come steal away please, (steal away) steal away know wrong asking there's way folk would approve thing like oh, no, tell anybody else i'll keep know late (it's late), woah, can't wait come steal away please, (steal away) steal away 'cause need you, yes (steal away) oh, side, yes, oh (steal away) still need you, need you, need guide (steal away)",796
